DATE,MCOILBRENTEU
01/05/1987,18.58
01/06/1987,18.86
01/07/1987,19.86
01/08/1987,18.98
01/09/1987,18.31
01/10/1987,18.76
01/11/1987,17.78
01/12/1987,17.05
01/01/1988,16.75
01/02/1988,15.73
01/03/1988,14.73
01/04/1988,16.6
01/05/1988,16.31
01/06/1988,15.54
01/07/1988,14.91
01/08/1988,14.89
01/09/1988,13.18
01/10/1988,12.41
01/11/1988,13.02
01/12/1988,15.31
01/01/1989,17.17
01/02/1989,16.89
01/03/1989,18.7
01/04/1989,20.32
01/05/1989,18.63
01/06/1989,17.67
01/07/1989,17.62
01/08/1989,16.77
01/09/1989,17.77
01/10/1989,18.91
01/11/1989,18.73
01/12/1989,19.84
01/01/1990,21.25
01/02/1990,19.81
01/03/1990,18.39
01/04/1990,16.61
01/05/1990,16.35
01/06/1990,15.1
01/07/1990,17.17
01/08/1990,27.17
01/09/1990,34.9
01/10/1990,36.02
01/11/1990,33.07
01/12/1990,28.27
01/01/1991,23.57
01/02/1991,19.54
01/03/1991,19.08
01/04/1991,19.18
01/05/1991,19.19
01/06/1991,18.17
01/07/1991,19.4
01/08/1991,19.77
01/09/1991,20.5
01/10/1991,22.21
01/11/1991,21.11
01/12/1991,18.41
01/01/1992,18.16
01/02/1992,18.05
01/03/1992,17.63
01/04/1992,18.92
01/05/1992,19.89
01/06/1992,21.16
01/07/1992,20.24
01/08/1992,19.74
01/09/1992,20.27
01/10/1992,20.26
01/11/1992,19.21
01/12/1992,18.14
01/01/1993,17.39
01/02/1993,18.47
01/03/1993,18.79
01/04/1993,18.67
01/05/1993,18.51
01/06/1993,17.65
01/07/1993,16.78
01/08/1993,16.7
01/09/1993,16.01
01/10/1993,16.61
01/11/1993,15.2
01/12/1993,13.73
01/01/1994,14.29
01/02/1994,13.8
01/03/1994,13.82
01/04/1994,15.23
01/05/1994,16.19
01/06/1994,16.76
01/07/1994,17.6
01/08/1994,16.89
01/09/1994,15.9
01/10/1994,16.49
01/11/1994,17.19
01/12/1994,15.93
01/01/1995,16.55
01/02/1995,17.11
01/03/1995,17.01
01/04/1995,18.65
01/05/1995,18.35
01/06/1995,17.31
01/07/1995,15.85
01/08/1995,16.1
01/09/1995,16.7
01/10/1995,16.11
01/11/1995,16.86
01/12/1995,17.93
01/01/1996,17.85
01/02/1996,18
01/03/1996,19.85
01/04/1996,20.9
01/05/1996,19.15
01/06/1996,18.46
01/07/1996,19.57
01/08/1996,20.51
01/09/1996,22.63
