Back to Contents,Data 1: U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
Sourcekey,EER_EPJK_PF4_RGC_DPG
Date,U.S. Gulf Coast Kerosene-Type Jet Fuel Spot Price FOB (Dollars per Gallon)
"Apr 02, 1990",0.55
"Apr 03, 1990",0.555
"Apr 04, 1990",0.56
"Apr 05, 1990",0.54
"Apr 06, 1990",0.536
"Apr 09, 1990",0.536
"Apr 10, 1990",0.54
"Apr 11, 1990",0.551
"Apr 12, 1990",0.548
"Apr 13, 1990",0.528
"Apr 16, 1990",0.562
"Apr 17, 1990",0.553
"Apr 18, 1990",0.532
"Apr 19, 1990",0.531
"Apr 20, 1990",0.538
"Apr 23, 1990",0.536
"Apr 24, 1990",0.53
"Apr 25, 1990",0.522
"Apr 26, 1990",0.528
"Apr 27, 1990",0.535
"Apr 30, 1990",0.525
"May 01, 1990",0.545
"May 02, 1990",0.529
"May 03, 1990",0.507
"May 04, 1990",0.506
"May 07, 1990",0.502
"May 08, 1990",0.533
"May 09, 1990",0.521
"May 10, 1990",0.527
"May 11, 1990",0.513
"May 14, 1990",0.529
"May 15, 1990",0.519
"May 16, 1990",0.516
"May 17, 1990",0.519
"May 18, 1990",0.518
"May 21, 1990",0.514
"May 22, 1990",0.516
"May 23, 1990",0.507
"May 24, 1990",0.509
"May 25, 1990",0.496
"May 29, 1990",0.503
"May 30, 1990",0.511
"May 31, 1990",0.504
"Jun 01, 1990",0.498
"Jun 04, 1990",0.49
"Jun 05, 1990",0.475
"Jun 06, 1990",0.49
"Jun 07, 1990",0.487
"Jun 08, 1990",0.492
"Jun 11, 1990",0.487
"Jun 12, 1990",0.498
"Jun 13, 1990",0.502
"Jun 14, 1990",0.499
"Jun 15, 1990",0.498
"Jun 18, 1990",0.493
"Jun 19, 1990",0.484
"Jun 20, 1990",0.492
"Jun 21, 1990",0.492
"Jun 22, 1990",0.5
"Jun 25, 1990",0.503
"Jun 26, 1990",0.496
"Jun 27, 1990",0.496
"Jun 28, 1990",0.504
"Jun 29, 1990",0.497
"Jul 02, 1990",0.497
"Jul 03, 1990",0.493
"Jul 05, 1990",0.492
"Jul 06, 1990",0.488
"Jul 09, 1990",0.49
"Jul 10, 1990",0.496
"Jul 11, 1990",0.502
"Jul 12, 1990",0.547
"Jul 13, 1990",0.537
"Jul 16, 1990",0.556
"Jul 17, 1990",0.554
"Jul 18, 1990",0.554
"Jul 19, 1990",0.557
"Jul 20, 1990",0.549
"Jul 23, 1990",0.556
"Jul 24, 1990",0.561
"Jul 25, 1990",0.555
"Jul 26, 1990",0.561
"Jul 27, 1990",0.557
"Jul 30, 1990",0.571
"Jul 31, 1990",0.571
"Aug 01, 1990",0.596
"Aug 02, 1990",0.62
"Aug 03, 1990",0.64
"Aug 06, 1990",0.736
"Aug 07, 1990",0.774
"Aug 08, 1990",0.674
"Aug 09, 1990",0.69
"Aug 10, 1990",0.741
"Aug 13, 1990",0.769
"Aug 14, 1990",0.755
"Aug 15, 1990",0.751
"Aug 16, 1990",0.772
"Aug 17, 1990",0.827
"Aug 20, 1990",0.862
"Aug 21, 1990",0.87
"Aug 22, 1990",0.976
"Aug 23, 1990",1.058
"Aug 24, 1990",0.99
"Aug 27, 1990",0.842
"Aug 28, 1990",0.85
"Aug 29, 1990",0.789
"Aug 30, 1990",0.808
"Aug 31, 1990",0.814
"Sep 04, 1990",0.873
"Sep 05, 1990",0.881
"Sep 06, 1990",0.95
"Sep 07, 1990",0.913
"Sep 10, 1990",0.938
"Sep 11, 1990",0.898
"Sep 12, 1990",0.904
"Sep 13, 1990",0.923
"Sep 14, 1990",0.918
"Sep 17, 1990",0.94
"Sep 18, 1990",0.955
"Sep 19, 1990",0.963
"Sep 20, 1990",1.001
"Sep 21, 1990",1.067
"Sep 24, 1990",1.167
"Sep 25, 1990",1.187
"Sep 26, 1990",1.211
"Sep 27, 1990",1.239
