DATE,APU000074714
01/01/1976,0.605
01/02/1976,0.6
01/03/1976,0.594
01/04/1976,0.592
01/05/1976,0.6
01/06/1976,0.616
01/07/1976,0.623
01/08/1976,0.628
01/09/1976,0.63
01/10/1976,0.629
01/11/1976,0.629
01/12/1976,0.626
01/01/1977,0.627
01/02/1977,0.637
01/03/1977,0.643
01/04/1977,0.651
01/05/1977,0.659
01/06/1977,0.665
01/07/1977,0.667
01/08/1977,0.667
01/09/1977,0.666
01/10/1977,0.665
01/11/1977,0.664
01/12/1977,0.665
01/01/1978,0.648
01/02/1978,0.647
01/03/1978,0.647
01/04/1978,0.649
01/05/1978,0.655
01/06/1978,0.663
01/07/1978,0.674
01/08/1978,0.682
01/09/1978,0.688
01/10/1978,0.69
01/11/1978,0.695
01/12/1978,0.705
01/01/1979,0.716
01/02/1979,0.73
01/03/1979,0.755
01/04/1979,0.802
01/05/1979,0.844
01/06/1979,0.901
01/07/1979,0.949
01/08/1979,0.988
01/09/1979,1.02
01/10/1979,1.028
01/11/1979,1.041
01/12/1979,1.065
01/01/1980,1.131
01/02/1980,1.207
01/03/1980,1.252
01/04/1980,1.264
01/05/1980,1.266
01/06/1980,1.269
01/07/1980,1.271
01/08/1980,1.267
01/09/1980,1.257
01/10/1980,1.25
01/11/1980,1.25
01/12/1980,1.258
01/01/1981,1.298
01/02/1981,1.382
01/03/1981,1.417
01/04/1981,1.412
01/05/1981,1.4
01/06/1981,1.391
01/07/1981,1.382
01/08/1981,1.376
01/09/1981,1.376
01/10/1981,1.371
01/11/1981,1.369
01/12/1981,1.365
01/01/1982,1.358
01/02/1982,1.334
01/03/1982,1.284
01/04/1982,1.225
01/05/1982,1.237
01/06/1982,1.309
01/07/1982,1.331
01/08/1982,1.323
01/09/1982,1.307
01/10/1982,1.295
01/11/1982,1.283
01/12/1982,1.26
01/01/1983,1.23
01/02/1983,1.187
01/03/1983,1.152
01/04/1983,1.215
01/05/1983,1.259
01/06/1983,1.277
01/07/1983,1.288
01/08/1983,1.285
01/09/1983,1.274
01/10/1983,1.255
01/11/1983,1.241
01/12/1983,1.231
01/01/1984,1.216
01/02/1984,1.209
01/03/1984,1.21
01/04/1984,1.227
01/05/1984,1.236
01/06/1984,1.229
01/07/1984,1.212
01/08/1984,1.196
01/09/1984,1.203
01/10/1984,1.209
01/11/1984,1.207
01/12/1984,1.193
01/01/1985,1.148
01/02/1985,1.131
01/03/1985,1.159
01/04/1985,1.205
01/05/1985,1.231
01/06/1985,1.241
01/07/1985,1.242
01/08/1985,1.229
01/09/1985,1.216
01/10/1985,1.204
01/11/1985,1.207
01/12/1985,1.208
01/01/1986,1.194
01/02/1986,1.12
01/03/1986,0.981
01/04/1986,0.888
01/05/1986,0.923
01/06/1986,0.955
01/07/1986,0.89
01/08/1986,0.843
01/09/1986,0.86
01/10/1986,0.831
01/11/1986,0.821
01/12/1986,0.823
01/01/1987,0.862
01/02/1987,0.905
01/03/1987,0.912
01/04/1987,0.934
01/05/1987,0.941
01/06/1987,0.958
01/07/1987,0.971
01/08/1987,0.995
01/09/1987,0.99
01/10/1987,0.976
01/11/1987,0.976
01/12/1987,0.961
01/01/1988,0.933
01/02/1988,0.913
01/03/1988,0.904
