Year,Month,Crude Oil Price
2006,1,63.85
2006,2,61.33
2006,3,65
2006,4,72.09
2006,5,71.18
2006,6,69.32
2006,7,75.13
2006,8,75.15
2006,9,62.97
2006,10,59.49
2006,11,59.81
2006,12,64.7
2007,1,55.57
2007,2,59.97
2007,3,64.28
2007,4,70.46
2007,5,70.4
2007,6,73.28
2007,7,79.76
2007,8,73.76
2007,9,79.76
2007,10,83.86
2007,11,95.05
2007,12,93.4
2008,1,94.26
2008,2,98.15
2008,3,103.73
2008,4,116.73
2008,5,126.57
2008,6,138.74
2008,7,137.74
2008,8,115.84
2008,9,103.82
2008,10,75.31
2008,11,55.51
2008,12,45.87
2009,1,44.95
2009,2,46.52
2009,3,49.7
2009,4,51.16
2009,5,60.02
2009,6,72.24
2009,7,66.52
2009,8,74
2009,9,70.22
2009,10,78.25
2009,11,78.11
2009,12,75.11
2010,1,77.62
2010,2,75.06
2010,3,80.27
2010,4,85.29
2010,5,77.54
2010,6,75.79
2010,7,77.18
2010,8,78.67
2010,9,79.45
2010,10,84.42
2010,11,86.71
2010,12,92.79
2011,1,97.96
2011,2,106.57
2011,3,116.56
2011,4,124.49
2011,5,118.43
2011,6,117.03
2011,7,117.86
2011,8,111.99
2011,9,115.73
2011,10,113.12
2011,11,113.92
2011,12,111.46
2012,1,113.81
2012,2,121.87
2012,3,128
2012,4,122.62
2012,5,113.08
2012,6,98.06
2012,7,104.62
2012,8,113.76
2012,9,114.36
2012,10,108.92
2012,11,111.05
2012,12,114.49
2013,1,115.24
2013,2,118.81
2013,3,112.79
2013,4,105.55
2013,5,106
2013,6,106.06
2013,7,109.78
2013,8,107.84
2013,9,113.59
2013,10,112.29
2013,11,111.14
2013,12,112.75
2014,1,110.19
2014,2,110.83
2014,3,109.47
2014,4,110.41
2014,5,111.9
2014,6,114.6
2014,7,109.63
2014,8,102.33
2014,9,98.27
2014,10,83.5
2014,11,80.42
2014,12,63.28
2015,1,48.81
2015,2,58.09
2015,3,56.69
2015,4,57.45
2015,5,65.08
2015,6,62.06
2015,7,57.01
2015,8,47.09
2015,9,48.08
2015,10,48.86
2015,11,44.82
2015,12,37.8
2016,1,30.66
2016,2,31.7
2016,3,37.76
2016,4,41.59
2016,5,47.01
2016,6,48.46
2016,7,45.25
2016,8,46.15
2016,9,47.43
2016,10,50.94
2016,11,45.25
2016,12,53.48
2017,1,55.01
2017,2,46.39
2017,3,52.13
2017,4,52.94
2017,5,50.57
2017,6,47.42
2017,7,49.01
2017,8,51.64
2017,9,56.79
2017,10,58.46
2017,11,63.56
2017,12,65.11
2018,1,69.68
2018,2,66.67
2018,3,74.72
2018,4,72.37
2018,5,77.64
2018,6,75.38
2018,7,74.72
2018,8,73.35
2018,9,79.59
2018,10,79.18
2018,11,66.59
2018,12,62
2019,1,60.39
2019,2,64.89
2019,3,67.67
2019,4,73.08
2019,5,73.65
2019,6,66.74
2019,7,66.24
2019,8,61.05
2019,9,65.27
2019,10,59.1
2019,11,63.56
2019,12,68.56
2020,1,66.68
2020,2,58.45
2020,3,32.29
2020,4,14.28
2020,5,27.9
2020,6,40.3
2020,7,44.1
2020,8,45.06
2020,9,40.85
2020,10,39.74
2020,11,42.7
2020,12,50.33
2021,1,54.87
2021,2,62.48
2021,3,65.62
2021,4,64.3
2021,5,67.83
2021,6,73.46
2021,7,75.93
2021,8,70.72
2021,9,74.55
2021,10,84.11
2021,11,82.16
2021,12,65.41
2022,1,88.71
2022,2,99.64
2022,3,121.23
2022,4,106.51
2022,5,116.72
2022,6,130.1
2022,7,120.54
2022,8,106.34
2022,9,93.25
2022,10,96.57
2022,11,93.36
2022,12,82.5
2023,1,84.78
2023,2,86.04
2023,3,81.1
2023,5,76.91
2023,6,76.97
2023,7,82.27
